rdf:type,schema:identifier,schema:name,https://sabae.cc/#format,schema:name@ja-Kana,schema:description@ja,https://sabae.cc/#example,
schema:DefiedTerm,1,LED,LED 数,エルイーディー,数が1なら光り、0なら消える,LED 1,
schema:DefiedTerm,2,WAIT,"WAIT 数1{,数2}",ウェイト,数1の数値フレーム分待つ 60で約１秒、省略可の数2指定で低電力化、数1のマイナス指定で走査線分で待つ(-261でWAIT1と同等),WAIT 60,
schema:DefiedTerm,3,:,:,コロン,コマンドを連結する,WAIT 60:LED 1,
schema:DefiedTerm,4,1,行番号 {コマンド},,1. 数は-32768から32767まで表記できる。 2. 行頭の1〜32767で指定された数は行番号として、コマンドと合わせて記録する。コマンドを省略するとその行を削除（16385以上は指定しないと表示しない）,10 LED1,
schema:DefiedTerm,5,RUN,RUN,ラン,プログラムを実行する [F5],RUN,
schema:DefiedTerm,6,LIST,"LIST {行番号1{,行番号2}}",リスト,プログラムを表示する [F4] （行番号1で1行表示、行番号1がマイナスでその行まで表示、行番号2指定でその行まで表示、行番号2が0の時終わりまで表示、ESCで途中停止）,"LIST 10,300",
schema:DefiedTerm,7,GOTO,GOTO 行番号,ゴートゥー,指定した行番号へ飛ぶ（式も指定可能）,GOTO 10,
schema:DefiedTerm,8,END,END,エンド,プログラムを終了する,END,
schema:DefiedTerm,9,IF,IF 数 {THEN} コマンド1 {ELSE コマンド2},イフ,"数が0でなければコマンド1を実行し、0であればコマンド2を実行する （THEN,ELSE以降は省略可）",IF BTN() END,
schema:DefiedTerm,10,THEN,IF 数 {THEN} コマンド1 {ELSE コマンド2},ゼン,"数が0でなければコマンド1を実行し、0であればコマンド2を実行する （THEN,ELSE以降は省略可）",IF BTN() END,
schema:DefiedTerm,11,ELSE,IF 数 {THEN} コマンド1 ELSE コマンド2,エルス,数が0でなければコマンド1を実行し、0であればコマンド2を実行する （THENは省略可）,IF BTN() END ELSE CONT,
schema:DefiedTerm,12,BTN,BTN({数}),ボタン,ボタンが押されていれば1、そうでないとき0を返す（数：0(付属ボタン)/UP/DOWN/RIGHT/LEFT/SPACE、省略で0）,LED BTN(),
schema:DefiedTerm,13,NEW,NEW,ニュー,プログラムを全部消す,NEW,
schema:DefiedTerm,14,PRINT,PRINT {数や文字列},プリント,"数や文字列を表示する （文字列は""で囲む、"";"" で連結できる） 省略形：?","PRINT ""HI!"";15",
schema:DefiedTerm,15,?,? {数や文字列},プリント,"数や文字列を表示する （文字列は""で囲む、"";"" で連結できる） 非省略形：PRINT","?""HI!"";15",
schema:DefiedTerm,16,LOCATE,"LOCATE 数1,数2{,数3}",ロケート,"次に文字を書く位置を横、縦の順に指定する（左上が0,0、縦=-1で無表示）。数3が0でなければ指定した場所にカーソルを表示する。 省略形：LC","LOCATE 3,3",
schema:DefiedTerm,17,LC,"LC 数1,数2{,数3}",ロケート,"次に文字を書く位置を横、縦の順に指定する（左上が0,0、縦=-1で無表示）。数3が0でなければ指定した場所にカーソルを表示する。 非省略形：LOCATE","LC 3,3",
schema:DefiedTerm,18,CLS,CLS,クリア スクリーン,画面を全部消す,CLS,
schema:DefiedTerm,19,RND,RND(数),ランダム,0から数未満のでたらめな整数を返す,PRINT RND(6),
schema:DefiedTerm,20,SAVE,SAVE {数},セーブ,プログラムを保存する（0〜3の4つ、100-227 外付けEEPROM、省略で前回使用した数） ボタンを押した状態で起動すると0番を読み込み自動実行,SAVE 1,
schema:DefiedTerm,21,LOAD,LOAD {数},ロード,プログラムを読み出す（0〜3の4つ、100-227 外付けEEPROM、省略で前回使用した数）,LOAD,
schema:DefiedTerm,22,FILES,"FILES {数1{,数2}}",ファイルズ,数1(省略可)〜数2のプログラム一覧を表示する（EEPROM内ファイル表示に対応、0指定ですべて表示、ESCで途中停止）,FILES,
schema:DefiedTerm,23,BEEP,"BEEP {数1{,数2}}",ビープ,単音を鳴らす 周期(0-32767)と長さ(1/60秒単位)は省略可 ※SOUND(EX2)-GNDに圧電サウンダーなどの接続が必要,BEEP,
schema:DefiedTerm,24,PLAY,"PLAY {""MML""}",プレイ,別途解説するMMLで記述した音楽を鳴らす。MML省略で音停止 ※SOUND(EX2)-GNDに圧電サウンダーなどの接続が必要,"PLAY ""$CDE2CDE2""",
schema:DefiedTerm,25,TEMPO,TEMPO 数,テンポ,再生中の音楽のテンポを変更する,TEMPO 1200,
schema:DefiedTerm,26,+,数 + 数,プラス,足し算する,PRINT 1+1,
schema:DefiedTerm,27,-,数 - 数,マイナス,1. 引き算する 2. 後に続く数をマイナスにする,PRINT 2-1,
schema:DefiedTerm,28,*,数 * 数,アスタリスク,掛け算する,PRINT 7*8,
schema:DefiedTerm,29,/,数 / 数,スラッシュ,割り算する（小数点以下は切り捨て）,PRINT 9/3,
schema:DefiedTerm,30,%,数 % 数,パーセント,割り算した余りを返す,PRINT 10%3,
schema:DefiedTerm,31,(),(式),ブラケット,カッコ内の式を優先して計算する,PRINT 1+(1*2),
schema:DefiedTerm,32,LET,"LET 変数,数",レット,"数をアルファベット１文字の変数や配列の値として記憶する（配列へ連続代入可能 LET[0],1,2） 省略形：変数=数","LET A,1",
schema:DefiedTerm,33,=,変数=数,イコール,"1. 数をアルファベット１文字の変数や配列の値として記憶する  非省略形：LET 変数,数 2. 式として使うと==と同じ機能となる",A=1,
schema:DefiedTerm,34,INPUT,"INPUT {文字列,}変数",インプット,キーボードやUARTからの入力で数値を変数にいれる（文字列とコンマは省略可）,"INPUT ""ANS?"",A",
schema:DefiedTerm,35,TICK,TICK(),ティック,CLTからの時間を返す（1/60秒で1進む）,PRINT TICK(),
schema:DefiedTerm,36,CLT,CLT,クリア ティック,TICK()のカウントをリセットする,CLT,
schema:DefiedTerm,37,INKEY,INKEY(),インキー,キーボードやUARTから１文字入力する（入力がない時は0、UARTから0が入力された時は#100）,PRINT INKEY(),
